tract,cems_percentile,utems_percentile,mems_percentile,cancer_twe_percentile,chronic_twe_percentile,acute_twe_percentile
06013312000,81.8741450068,0,81.3269493844,51.4363885089,72.024623803,80.779753762
06013313102,92.3392612859,0,91.9288645691,66.9630642955,67.4418604651,71.6142270862
06013313104,59.781121751,0,59.3707250342,65.1846785226,58.8919288646,58.0711354309
06013313105,78.0437756498,0,77.4965800274,50,62.8590971272,69.4254445964
06013313106,4.17236662107,0,4.17236662107,8.54993160055,3.69357045144,0
06013313107,2.32558139535,0,2.32558139535,2.87277701778,0.820793433653,10.4651162791
06013313203,99.7264021888,0,99.5896032832,93.1600547196,98.7004103967,98.5636114911
06013313204,45.7592339261,0,45.5540355677,43.707250342,43.707250342,47.8796169631
06013313206,32.6265389877,0,32.4213406293,21.4090287278,34.1997264022,41.9288645691
06013314102,36.6621067031,0,36.5253077975,21.340629275,34.4049247606,42.5444596443
06013314103,95.8276333789,0,95.5540355677,97.537619699,99.7264021888,99.658002736
06013314105,61.901504788,0,61.4911080711,50.8891928865,69.6990424077,75.5813953488
06013314106,93.0916552668,0,92.6812585499,59.0287277702,48.2900136799,50.341997264
06013314200,57.4555403557,0,57.1135430917,48.9056087551,31.2585499316,31.2585499316
06013315000,98.7688098495,99.7948016416,98.9740082079,98.9740082079,99.4528043776,99.3844049248
06013316000,67.3734610123,0,66.9630642955,80.4377564979,58.3447332421,30.8481532148
06013317000,94.8700410397,0,94.4596443228,75.512995896,84.7469220246,87.8248974008
06013318000,86.730506156,0,86.3201094391,82.4213406293,81.121751026,79.8905608755
06013319001,81.805745554,0,81.2585499316,52.1887824897,41.9972640219,54.5827633379
06013319002,8.00273597811,0,8.00273597811,37.5512995896,13.6798905609,0
06013320001,99.8632010944,0,99.7264021888,100,100,99.9316005472
06013320003,10.8755129959,0,10.8755129959,43.2284541724,15.1846785226,12.6538987688
06013320004,97.6060191518,0,97.3324213406,97.3324213406,99.0424076607,98.6320109439
06013321101,79.6169630643,0,79.0697674419,84.1313269494,87.2777017784,90.4924760602
06013321102,7.04514363885,0,7.04514363885,22.0930232558,9.16552667579,12.1067031464
06013321103,47.1272229822,0,46.853625171,34.610123119,52.2571819425,60.1915184679
06013321200,76.0601915185,0,75.512995896,56.3611491108,69.1518467852,74.3502051984
06013322000,72.024623803,0,71.5458276334,50.683994528,79.5485636115,72.5718194254
06013324002,58.4131326949,0,58.0711354309,45.2804377565,65.5950752394,71.8878248974
06013324003,75.1025991792,0,74.5554035568,93.023255814,82.2161422709,36.730506156
06013324004,97.0588235294,0,96.7852257182,41.4500683995,57.2503419973,64.6374829001
06013325000,55.5403556772,0,55.1983584131,59.3023255814,50.5471956224,51.3679890561
06013326000,21.7510259918,0,21.682626539,12.3803009576,20.9302325581,27.9069767442
06013327001,92.0656634747,0,91.6552667579,91.1080711354,87.6880984952,87.4829001368
06013327002,83.6525307798,0,83.2421340629,58.6867305062,78.9329685363,83.1737346101
06013328000,84.8153214774,0,84.4049247606,79.4801641587,74.7606019152,75.3761969904
06013329000,86.2517099863,0,85.8413132695,89.876880985,93.5704514364,95.3488372093
06013330000,17.7154582763,0,17.7154582763,55.1983584131,23.3926128591,22.7086183311
06013331000,64.0902872777,0,63.6798905609,48.2900136799,71.6142270862,77.0177838577
06013332000,41.3132694938,0,41.1080711354,34.4049247606,46.0328317373,53.0779753762
06013333101,23.4610123119,0,23.3242134063,0,0,0
06013333102,54.6511627907,0,54.3775649795,40.6292749658,60.3967168263,67.8522571819
06013333200,58.0711354309,0,57.7291381669,39.7400820793,59.7127222982,67.0998632011
06013334001,1.5047879617,0,1.5047879617,9.57592339261,12.7222982216,11.4227086183
06013334007,25.7865937073,0,25.6497948016,62.3119015048,36.5937072503,27.1545827633
06013334200,54.3091655267,0,54.0355677155,73.3926128591,68.3310533516,68.194254446
06013335000,50.4103967168,0,50.1367989056,79.2065663475,73.2558139535,65.8686730506
06013336101,34.4733242134,0,34.3365253078,0,12.9958960328,18.9466484268
06013336103,57.7291381669,0,57.3871409029,84.8153214774,75.7181942544,66.3474692202
06013336202,69.220246238,0,68.8098495212,40.6976744186,62.3803009576,69.8358413133
06013337100,16.6894664843,0,16.6894664843,62.8590971272,26.4021887825,0
06013337201,89.6032831737,0,89.1244870041,78.9329685363,88.3720930233,90.7660738714
06013337202,64.3638850889,0,63.9534883721,23.7346101231,40.7660738714,78.2489740082
06013337300,24.7606019152,0,24.6238030096,22.4350205198,26.6073871409,33.4473324213
06013338201,46.511627907,0,46.3064295486,82.0109439124,64.1586867305,33.5157318741
06013338203,27.4965800274,0,27.3597811218,88.098495212,72.4350205198,0
06013338204,54.7879616963,0,54.5143638851,57.1135430917,62.9958960328,67.5102599179
06013338301,46.7168262654,0,46.511627907,40.8344733242,36.1833105335,42.3392612859
06013338302,66.6894664843,0,66.2790697674,78.5909712722,80.0957592339,79.2749658003
06013339001,66.2106703146,0,65.8002735978,82.3529411765,80.6429548564,78.9329685363
06013339003,82.7633378933,0,82.2845417237,95.0752393981,89.3296853625,86.7989056088
06013339004,79.7537619699,0,79.2065663475,77.2913816689,71.5458276334,68.7414500684
06013340001,75.7181942544,0,75.170998632,65.047879617,77.0861833105,80.2325581395
06013340004,66.0054719562,0,65.5950752394,59.9863201094,40.0136798906,39.3296853625
06013341000,62.0383036936,0,61.6279069767,58.755129959,92.0656634747,90.6976744186
06013343002,17.9890560876,0,17.9890560876,33.7893296854,44.9384404925,22.9138166895
06013345101,28.9329685363,0,28.7277701778,43.4336525308,31.7373461012,34.4049247606
06013345103,7.25034199726,0,7.25034199726,28.4541723666,10.8755129959,0
06013345105,55.8823529412,0,55.5403556772,46.4432284542,62.7222982216,68.9466484268
06013345111,68.1258549932,0,67.7154582763,78.3857729138,75.3077975376,72.9822161423
06013345112,4.99316005472,0,4.99316005472,5.06155950752,3.146374829,14.0218878249
06013345113,47.2640218878,0,46.9904240766,35.2257181943,52.462380301,60.2599179207
06013345114,8.82352941176,0,8.82352941176,41.7920656635,16.3474692202,16.9630642955
06013345115,69.9726402189,0,69.5622435021,41.6552667579,64.5006839945,71.5458276334
06013345117,1.5731874145,0,1.5731874145,78.317373461,11.0123119015,12.3119015048
06013345118,93.5704514364,0,93.2284541724,86.0465116279,78.2489740082,77.7701778386
